"Id","Name","Hex__c"
"a1k4x000002iVZ9AAM","Navy","#182129"
"a1k4x000002iVZAAA2","Charcoal","#363840"
"a1k4x000002iVZBAA2","Grey","#918f98"
"a1k4x000002iVZCAA2","Black","#1a1618"
"a1k4x000002iVZDAA2","Navy","#182129"
"a1k4x000002iVZEAA2","Light Blue","#6d94ca"
"a1k4x000002iVZFAA2","Charcoal","#363840"
"a1k4x000002iVZGAA2","Grey","#918f98"
"a1k4x000002iVZHAA2","Charcoal","#363840"
"a1k4x000002iVZIAA2","Light Blue","#6d94ca"
"a1k4x000002iVZJAA2","Black","#1a1618"
"a1k4x000002iVkGAAU","Light Blue","#6d94ca"
"a1k4x000002iVkHAAU","White","#f4f6f6"
"a1k4x000002iVkIAAU","Light Blue","#6d94ca"
"a1k4x000002iVkJAAU","Navy","#182129"
"a1k4x000002iVkKAAU","White","#f4f6f6"
"a1k4x000002iVkLAAU","Red","#b82132"
"a1k4x000002iVkMAAU","Royal Blue","#22569c"
"a1k4x000002iVkNAAU","Light Blue","#6d94ca"
"a1k4x000002iVkOAAU","Black","#1a1618"
"a1k4x000002iVkPAAU","Light Blue","#6d94ca"
"a1k4x000002iVkQAAU","Royal","#22569c"
"a1k4x000002iVkRAAU","Kelly Green","#01965c"
"a1k4x000002iVkSAAU","Red","#b82132"
"a1k4x000002iVkTAAU","Tan","#b9a791"
"a1k4x000002iVkUAAU","Navy","#182129"
"a1k4x000002iVkVAAU","Tri-Indigo","#384967"
"a1k4x000002iVkWAAU","Tri-Black","#212721"
"a1k4x000002iVkXAAU","Athletic Blue","#6899C4"
"a1k4x000002iVkYAAU","Athletic Grey","#9A959B"
"a1k4x000002iVkZAAU","Tri-Oatmeal","#E0C6AD"
"a1k4x000002iVkaAAE","Tri-Indigo","#384967"
"a1k4x000002iVkbAAE","Tri-Orchid","#865E9C"
"a1k4x000002iVkcAAE","Tri-Evergreen","#00957A"
"a1k4x000002iVkdAAE","Tri-Coffee","#6E6259"
"a1k4x000002iVkeAAE","Tri-Cranberry","#502b3a"
"a1k4x000002iVkfAAE","Tri-Black","#212721"
"a1k4x000002iVkgAAE","Tri-Cranberry","#502b3a"
"a1k4x000002iVkhAAE","Tri-Indigo","#384967"
"a1k4x000002iVkiAAE","Tri-Coffee","#6E6259"
"a1k4x000002iVkjAAE","Tri-Lemon","#5C7F71"
"a1k4x000002iVkkAAE","Tri-Evergreen","#00957A"
"a1k4x000002iVklAAE","Athletic Blue","#6899C4"
"a1k4x000002iVkmAAE","Athletic Grey","#9A959B"
"a1k4x000002iVknAAE","Tri-Cranberry","#502b3a"
"a1k4x000002iVkoAAE","Tri-Indigo","#384967"
"a1k4x000002iVkpAAE","Tri-Oatmeal","#E0C6AD"
"a1k4x000002iVkqAAE","Tri-Black","#212721"
"a1k4x000002iVkrAAE","Athletic Grey","#9A959B"
"a1k4x000002iVksAAE","Athletic Blue","#6899C4"
"a1k4x000002iVktAAE","Tri-Evergreen","#00957A"
"a1k4x000002iVkuAAE","Tri-Coffee","#6E6259"
"a1k4x000002iVkvAAE","Athletic Grey","#9A959B"
"a1k4x000002iVkwAAE","Tri-Black","#212721"
"a1k4x000002iVkxAAE","Tri-Cranberry","#502b3a"
"a1k4x000002iVkyAAE","Tri-Oatmeal","#E0C6AD"
"a1k4x000002iUe3AAE","Tri Cranberry","#c01630"
"a1k4x000002iUe4AAE","Tri Royal Blue","#00579c"
"a1k4x000002iUe5AAE","Tri Steel Blue","#415E70"
"a1k4x000002iUe6AAE","Tri Dark Grey","#3c3c40"
"a1k4x000002iUe7AAE","Tri Plum","#0E004D"
"a1k4x000002iUe8AAE","Tri Fuchsia","#F7BDC9"
"a1k4x000002iUe9AAE","Tri Midnight","#152538"
